"ZView Export Data File: Version 3.0a"
"Export From File: ~ZPlot"
"Date/Time:  14.12.2022 16:04:02"
" "
" "
"C:\Dokumente und Einstellungen\Potentiostat\Desktop\Valeria\14dic\DummyTest.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
0	1,000000E+06	5,5983E+02	1,6435E+02	1,0000E+06	5,8346E+02	1,6361E+01
1	7,943282E+05	5,6164E+02	1,2990E+02	7,9433E+05	5,7647E+02	1,3023E+01
2	6,309573E+05	5,6232E+02	1,0144E+02	6,3096E+05	5,7140E+02	1,0226E+01
3	5,011872E+05	5,6212E+02	7,7517E+01	5,0119E+05	5,6744E+02	7,8516E+00
4	3,981072E+05	5,6164E+02	5,7517E+01	3,9811E+05	5,6458E+02	5,8472E+00
5	3,162278E+05	5,6133E+02	4,0315E+01	3,1623E+05	5,6278E+02	4,1080E+00
6	2,511886E+05	5,6108E+02	2,5152E+01	2,5119E+05	5,6164E+02	2,5667E+00
7	1,995262E+05	5,6090E+02	1,0996E+01	1,9953E+05	5,6101E+02	1,1231E+00
8	1,584893E+05	5,6072E+02	-2,3881E+00	1,5849E+05	5,6073E+02	-2,4402E-01
9	1,258925E+05	5,6070E+02	-1,5969E+01	1,2589E+05	5,6093E+02	-1,6314E+00
10	1,000000E+05	5,6074E+02	-3,0596E+01	1,0000E+05	5,6157E+02	-3,1232E+00
11	7,943282E+04	5,6086E+02	-4,6606E+01	7,9433E+04	5,6279E+02	-4,7502E+00
12	6,309573E+04	5,6115E+02	-6,5427E+01	6,3096E+04	5,6495E+02	-6,6503E+00
13	5,011872E+04	5,6143E+02	-8,7563E+01	5,0119E+04	5,6822E+02	-8,8647E+00
14	3,981072E+04	5,6206E+02	-1,1432E+02	3,9811E+04	5,7357E+02	-1,1497E+01
15	3,162278E+04	5,6290E+02	-1,4710E+02	3,1623E+04	5,8180E+02	-1,4645E+01
16	2,511886E+04	5,6433E+02	-1,8772E+02	2,5119E+04	5,9473E+02	-1,8399E+01
17	1,995262E+04	5,6641E+02	-2,3837E+02	1,9953E+04	6,1452E+02	-2,2823E+01
18	1,584893E+04	5,6988E+02	-3,0154E+02	1,5849E+04	6,4474E+02	-2,7885E+01
19	1,258925E+04	5,7529E+02	-3,8067E+02	1,2589E+04	6,8983E+02	-3,3493E+01
20	1,000000E+04	5,8394E+02	-4,7981E+02	1,0000E+04	7,5578E+02	-3,9409E+01
21	7,943282E+03	5,9767E+02	-6,0402E+02	7,9433E+03	8,4974E+02	-4,5303E+01
22	6,309573E+03	6,1904E+02	-7,5948E+02	6,3096E+03	9,7981E+02	-5,0817E+01
23	5,011872E+03	6,5294E+02	-9,5326E+02	5,0119E+03	1,1554E+03	-5,5591E+01
24	3,981072E+03	7,0571E+02	-1,1943E+03	3,9811E+03	1,3872E+03	-5,9421E+01
25	3,162278E+03	7,8906E+02	-1,4909E+03	3,1623E+03	1,6868E+03	-6,2110E+01
